A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include
16,O,8,8,9844.5,0.5,2,0.62 KEV 0.1,2927.1,0.8,34.0,7.0,[M1],0.0042,8.0E-4,4,0.62,KEV,0.1,7.358539907170257e-19,4.562294742445559e-18,0.007520071061092055,0.001432394487827058,16O,2,4,2,1,False
18,O,8,10,3920.44,0.14,2,18.4 FS 2,1938.0,0.0,87.6,0.7,M1,0.14,0.02,4,18.4,FS,2,1.84e-14,2e-15,0.25066903536973517,0.03580986219567645,18O,2,4,2,1,True
18,O,8,10,5254.8,0.9,2,7.0 FS 0.3,1334.0,0.0,8.7,0.4,M1,0.111,0.008,4,7.0,FS,0.3,7e-15,3e-16,0.1987447351860043,0.014323944878270581,18O,2,4,3,2,True
18,O,8,10,8213.0,4.0,2,1.0 KEV 0.8,4293.0,0.0,3.0,1.0,M1,0.0072,0.003,4,1.0,KEV,0.8,4.56229474244556e-19,5.702868428056949e-19,0.012891550390443523,0.005371479329351468,18O,2,4,4,2,True
19,O,8,11,96.0,0.5,3/2,1.39 NS 0.05,96.0,0.0,100.0,0.0,M1,0.088,0.038,3,1.39,NS,0.05,1.39e-09,5.000000000000001e-11,0.15756339366097638,0.06803873817178525,19O,5/2,5,1,1,True
19,O,8,11,1471.7,0.4,1/2,0.88 PS 0.12,1375.7,0.0,98.0,0.2,M1,0.0093,0.0015,1,0.88,PS,0.12,8.8e-13,1.2e-13,0.01665158592098955,0.002685739664675734,19O,3/2,3,1,1,True
18,F,9,9,1700.81,0.18,1,662 FS 19,659.0,0.0,70.2,1.3,M1,0.0805,0.0027,2,662,FS,19,6.62e-13,1.9e-14,0.14413469533759773,0.0048343313964163215,18F,0,0,2,1,True
18,F,9,9,1700.81,0.18,1,662 FS 19,1701.0,0.0,29.8,1.3,M1,0.002,1.1E-4,2,662,FS,19,6.62e-13,1.9e-14,0.0035809862195676453,0.0001969542420762205,18F,1,2,2,1,True
18,F,9,9,3358.2,1.0,3,0.30 PS 0.02,835.0,0.0,6.0,3.0,M1,0.0074,0.0037,6,0.30,PS,0.02,3e-13,2e-14,0.013249649012400288,0.006624824506200144,18F,2,4,2,1,True
18,F,9,9,3358.2,1.0,3,0.30 PS 0.02,2421.0,0.0,9.0,3.0,M1,0.00047,1.7E-4,6,0.30,PS,0.02,3e-13,2e-14,0.0008415317615983966,0.00030438382866324987,18F,3,6,2,1,True
18,F,9,9,3839.17,0.22,2,13.2 FS 1.9,2902.0,0.0,8.9,1.4,M1,0.006,0.0012,4,13.2,FS,1.9,1.32e-14,1.9e-15,0.010742958658702936,0.002148591731740587,18F,3,6,3,1,True
18,F,9,9,3839.17,0.22,2,13.2 FS 1.9,2138.0,0.0,3.0,1.0,M1,0.0049,2.0E-4,4,13.2,FS,1.9,1.32e-14,1.9e-15,0.00877341623794073,0.0003580986219567645,18F,1,2,3,2,True
18,F,9,9,3839.17,0.22,2,13.2 FS 1.9,777.0,0.0,50.0,3.0,M1,1.7,0.3,4,13.2,FS,1.9,1.32e-14,1.9e-15,3.0438382866324982,0.5371479329351467,18F,2,4,3,2,True
18,F,9,9,4115.9,0.25,3,63 FS 15,1054.0,0.0,95.0,3.0,M1,0.28,0.07,6,63,FS,15,6.300000000000001e-14,1.5000000000000002e-14,0.5013380707394703,0.12533451768486759,18F,2,4,3,2,True
18,F,9,9,4360.15,0.26,1,19 FS 7,1298.0,0.0,100.0,0.0,M1,0.5,0.2,2,19,FS,7,1.9e-14,7e-15,0.8952465548919113,0.35809862195676456,18F,2,4,4,2,True
18,F,9,9,5297.6,1.5,4,21 FS 3,646.0,0.0,1.3,0.3,M1,0.019,0.009,8,21,FS,3,2.1000000000000002e-14,3.0000000000000002e-15,0.03401936908589263,0.0161144379880544,18F,4,8,2,1,True
18,F,9,9,6163.2,0.9,3,14.0 KEV 0.5,2047.0,0.0,1.5,0.3,M1,0.078,0.033,6,14.0,KEV,0.5,3.258781958889685e-20,9.12458948489112e-19,0.13965846256313816,0.05908627262286615,18F,3,6,4,3,True
18,F,9,9,6163.2,0.9,3,14.0 KEV 0.5,3640.0,0.0,5.5,0.4,M1,0.052,0.017,6,14.0,KEV,0.5,3.258781958889685e-20,9.12458948489112e-19,0.09310564170875878,0.030438382866324987,18F,2,4,4,1,True
18,F,9,9,6163.2,0.9,3,14.0 KEV 0.5,3101.0,0.0,1.3,0.3,M1,0.019,0.01,6,14.0,KEV,0.5,3.258781958889685e-20,9.12458948489112e-19,0.03401936908589263,0.017904931097838226,18F,2,4,4,2,True
18,F,9,9,6163.2,0.9,3,14.0 KEV 0.5,2324.0,0.0,25.0,1.6,M1,0.91,0.23,6,14.0,KEV,0.5,3.258781958889685e-20,9.12458948489112e-19,1.6293487299032785,0.4118134152502792,18F,2,4,4,3,True
18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,3760.0,0.0,0.3,0.2,M1,0.0048,0.0034,4,10.0,KEV,0.5,4.562294742445559e-20,9.12458948489112e-19,0.008594366926962348,0.0060876765732649964,18F,2,4,5,1,True
18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,1923.0,0.0,0.5,0.4,M1,0.06,0.05,4,10.0,KEV,0.5,4.562294742445559e-20,9.12458948489112e-19,0.10742958658702935,0.08952465548919114,18F,1,2,5,4,True
18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2925.0,0.0,2.3,0.3,M1,0.078,0.027,4,10.0,KEV,0.5,4.562294742445559e-20,9.12458948489112e-19,0.13965846256313816,0.048343313964163206,18F,3,6,5,2,True
18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2559.0,0.0,1.4,0.5,M1,0.071,0.034,4,10.0,KEV,0.5,4.562294742445559e-20,9.12458948489112e-19,0.12712501079465138,0.060876765732649975,18F,1,2,5,3,True
18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2444.0,0.0,15.8,1.4,M1,0.91,0.29,4,10.0,KEV,0.5,4.562294742445559e-20,9.12458948489112e-19,1.6293487299032785,0.5192430018373085,18F,2,4,5,3,True
18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,4582.0,0.0,5.7,0.6,M1,0.05,0.015,4,10.0,KEV,0.5,4.562294742445559e-20,9.12458948489112e-19,0.08952465548919114,0.026857396646757337,18F,1,2,5,2,True
18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2167.0,0.0,3.9,0.2,M1,0.33,0.11,4,10.0,KEV,0.5,4.562294742445559e-20,9.12458948489112e-19,0.5908627262286614,0.19695424207622048,18F,3,6,5,3,True
18,F,9,9,6310.5,0.8,3,0.95 KEV 0.14,2195.0,0.0,2.4,1.7,M1,0.018,0.014,6,0.95,KEV,0.14,4.802415518363747e-19,3.258781958889685e-18,0.0322288759761088,0.025066903536973516,18F,3,6,5,3,True
18,F,9,9,6310.5,0.8,3,0.95 KEV 0.14,1347.0,0.0,13.0,1.5,M1,0.62,0.2,6,0.95,KEV,0.14,4.802415518363747e-19,3.258781958889685e-18,1.11010572806597,0.35809862195676456,18F,2,4,5,4,True
18,F,9,9,6310.5,0.8,3,0.95 KEV 0.14,3249.0,0.0,57.0,3.0,M1,0.14,0.03,6,0.95,KEV,0.14,4.802415518363747e-19,3.258781958889685e-18,0.25066903536973517,0.053714793293514675,18F,2,4,5,2,True
18,F,9,9,6385.5,1.7,2,0.49 KEV 0.09,4685.0,0.0,6.8,1.7,M1,0.014,0.007,4,0.49,KEV,0.09,9.310805596827674e-19,5.069216380495067e-18,0.025066903536973516,0.012533451768486758,18F,1,2,6,2,True
18,F,9,9,6385.5,1.7,2,0.49 KEV 0.09,2270.0,0.0,2.3,0.5,M1,0.041,0.02,4,0.49,KEV,0.09,9.310805596827674e-19,5.069216380495067e-18,0.07341021750113673,0.03580986219567645,18F,3,6,6,3,True
18,F,9,9,6484.9,1.5,3,0.40 KEV 0.1,3962.0,0.0,4.0,2.0,M1,0.0023,0.0015,6,0.40,KEV,0.1,1.1405736856113897e-18,4.562294742445559e-18,0.0041181341525027915,0.002685739664675734,18F,2,4,6,1,True
18,F,9,9,6484.9,1.5,3,0.40 KEV 0.1,3423.0,0.0,21.0,3.0,M1,0.019,0.007,6,0.40,KEV,0.1,1.1405736856113897e-18,4.562294742445559e-18,0.03401936908589263,0.012533451768486758,18F,2,4,6,2,True
18,F,9,9,6484.9,1.5,3,0.40 KEV 0.1,2646.0,0.0,9.0,2.0,M1,0.017,0.006,6,0.40,KEV,0.1,1.1405736856113897e-18,4.562294742445559e-18,0.030438382866324987,0.010742958658702936,18F,2,4,6,3,True
18,F,9,9,6484.9,1.5,3,0.40 KEV 0.1,1521.0,0.0,2.0,2.0,M1,0.02,0.02,6,0.40,KEV,0.1,1.1405736856113897e-18,4.562294742445559e-18,0.03580986219567645,0.03580986219567645,18F,2,4,6,4,True
18,F,9,9,6567.0,1.5,5,0.56 KEV 0.13,1269.0,0.0,2.3,0.6,M1,0.014,0.005,10,0.56,KEV,0.13,8.146954897224213e-19,3.509457494188891e-18,0.025066903536973516,0.008952465548919113,18F,4,8,2,2,True
19,F,9,10,1554.038,0.009,3/2,3.5 FS 2.1,1554.0,0.0,2.55,0.1,M1,0.043,0.025,3,3.5,FS,2.1,3.5e-15,2.1000000000000002e-15,0.07699120372070437,0.04476232774459557,19F,1/2,1,1,1,True
19,F,9,10,1554.038,0.009,3/2,3.5 FS 2.1,1356.9,0.0,92.6,0.2,M1,2.3,1.4,3,3.5,FS,2.1,3.5e-15,2.1000000000000002e-15,4.118134152502791,2.5066903536973513,19F,5/2,5,1,1,True
19,F,9,10,3908.17,0.2,3/2,6 FS 3,3711.0,0.0,14.0,2.0,M1,0.0096,0.0053,3,6,FS,3,6.0000000000000005e-15,3.0000000000000002e-15,0.017188733853924696,0.00948961348185426,19F,5/2,5,2,1,True
19,F,9,10,3908.17,0.2,3/2,6 FS 3,2354.1,0.0,21.0,3.0,M1,0.056,0.033,3,6,FS,3,6.0000000000000005e-15,3.0000000000000002e-15,0.10026761414789406,0.05908627262286615,19F,3/2,3,2,1,True
19,F,9,10,3908.17,0.2,3/2,6 FS 3,3908.2,0.0,48.0,2.0,M1,0.12,0.07,3,6,FS,3,6.0000000000000005e-15,3.0000000000000002e-15,0.2148591731740587,0.12533451768486759,19F,1/2,1,2,1,True
19,F,9,10,5500.7,1.7,3/2,4 KEV 1,3946.7,0.0,11.0,0.0,M1,0.18,0.0,3,4,KEV,1,1.14057368561139e-19,4.56229474244556e-19,0.32228875976108806,0.0,19F,3/2,3,3,1,True
19,F,9,10,6070.0,1.0,7/2,1.2 KEV,3290.0,0.0,23.0,3.0,M1,0.19,0.07,7,1.2,KEV,0.0,3.8019122853713e-19,,0.3401936908589263,0.12533451768486759,19F,9/2,9,3,1,True
19,F,9,10,6070.0,1.0,7/2,1.2 KEV,1692.0,0.0,4.0,1.0,M1,0.25,0.1,7,1.2,KEV,0.0,3.8019122853713e-19,,0.44762327744595565,0.17904931097838228,19F,7/2,7,3,1,True
19,F,9,10,6282.0,2.0,5/2,2.4 KEV,4728.0,0.0,20.0,2.0,M1,0.022,0.005,5,2.4,KEV,0.0,1.90095614268565e-19,,0.039390848415244095,0.008952465548919113,19F,3/2,3,5,1,True
